Brand,Waist,Alpha_Size,Num_Size,Brand_Type
Dolce&Gabbana,27,XL,8,Designer
Dolce&Gabbana,28,XXL,10,Designer
,,,,
Yves Saint Laurent,22.3,XXS,0,Designer
Yves Saint Laurent,24,XS,2,Designer
Yves Saint Laurent,25.2,S,4,Designer
Yves Saint Laurent,26.4,M,6,Designer
Yves Saint Laurent,27.9,L,8,Designer
Yves Saint Laurent,29.5,XL,10,Designer
Yves Saint Laurent,31.1,XXL,12,Designer
Yves Saint Laurent,32.7,XXXL,14,Designer
Yves Saint Laurent,34.3,,16,Designer
,,,,
Guess,24.5-25,XS,0,Designer
Guess,26-27,S,2-4,Designer
Guess,27.5-28,M,6,Designer
Guess,29.5-30,L,8,Designer
Guess,31-32.5,XL,10,Designer
